ID	Question	Predicted_Grouping	
E1	I am the life of the party.	Pos
E2	I don't talk a lot.	Neg
E3	I feel comfortable around people.	Pos
E4	I keep in the background.	Neg
E5	I start conversations.	Pos
E6	I have little to say.	Neg
E7	I talk to a lot of different people at parties.	Pos
E8	I don't like to draw attention to myself.	Neg
E9	I don't mind being the center of attention.	Pos
E10	I am quiet around strangers.	Neg
N1	I get stressed out easily.	Pos
N2	I am relaxed most of the time.	Neg
N3	I worry about things.	Pos
N4	I seldom feel blue.	Neg
N5	I am easily disturbed.	Pos
N6	I get upset easily.	Pos
N7	I change my mood a lot.	Pos
N8	I have frequent mood swings.	Pos
N9	I get irritated easily.	Pos
N10	I often feel blue.	Pos
A1	I feel little concern for others.	Neg
A2	I am interested in people.	Pos
A3	I insult people.	Neg
A4	I sympathize with others' feelings.	Pos
A5	I am not interested in other people's problems.	Neg
A6	I have a soft heart.	Pos
A7	I am not really interested in others.	Neg
A8	I take time out for others.	Pos
A9	I feel others' emotions.	Pos
A10	I make people feel at ease.	Pos
C1	I am always prepared.	Pos
C2	I leave my belongings around.	Neg
C3	I pay attention to details.	Pos
C4	I make a mess of things.	Neg
C5	I get chores done right away.	Pos
C6	I often forget to put things back in their proper place.	Neg
C7	I like order.	Pos
C8	I shirk my duties.	Neg
C9	I follow a schedule.	Pos
C10	I am exacting in my work.	Pos
O1	I have a rich vocabulary.	Pos
O2	I have difficulty understanding abstract ideas.	Neg
O3	I have a vivid imagination.	Pos
O4	I am not interested in abstract ideas.	Neg
O5	I have excellent ideas.	Pos
O6	I do not have a good imagination.	Neg
O7	I am quick to understand things.	Pos
O8	I use difficult words.	Pos
O9	I spend time reflecting on things.	Pos
O10	I am full of ideas.	Pos
